Avventura, L' (The Adventure)|https://www.imsdb.com/scripts/Avventura,-L'-(The-Adventure).html
Awakenings|https://www.imsdb.com/scripts/Awakenings.html
Babel|https://www.imsdb.com/scripts/Babel.html
Bachelor Party|https://www.imsdb.com/scripts/Bachelor-Party.html
Bachelor Party, The|https://www.imsdb.com/scripts/Bachelor-Party,-The.html
Back to the Future|https://www.imsdb.com/scripts/Back-to-the-Future.pdf
Back to the Future II & III|https://www.imsdb.com/scripts/Back-to-the-Future-II-&-III.pdf
Back-up Plan, The|https://www.imsdb.com/scripts/Back-up-Plan,-The.html
Backdraft|https://www.imsdb.com/scripts/Backdraft.html
Bad Boys|https://www.imsdb.com/scripts/Bad-Boys.html
Bad Country|https://www.imsdb.com/scripts/Bad-Country.html
Bad Day at Black Rock|https://www.imsdb.com/scripts/Bad-Day-at-Black-Rock.html
Bad Dreams|https://www.imsdb.com/scripts/Bad-Dreams.html
Bad Lieutenant|https://www.imsdb.com/scripts/Bad-Lieutenant.html
Bad Santa|https://www.imsdb.com/scripts/Bad-Santa.html
Bad Teacher|https://www.imsdb.com/scripts/Bad-Teacher.html
Badlands|https://www.imsdb.com/scripts/Badlands.html
Bamboozled|https://www.imsdb.com/scripts/Bamboozled.html
Barry Lyndon|https://www.imsdb.com/scripts/Barry-Lyndon.html
Barton Fink|https://www.imsdb.com/scripts/Barton-Fink.html
Basic|https://www.imsdb.com/scripts/Basic.html
Basic Instinct|https://www.imsdb.com/scripts/Basic-Instinct.html
Basquiat|https://www.imsdb.com/scripts/Basquiat.html
Batman|https://www.imsdb.com/scripts/Batman.html
Batman 2|https://www.imsdb.com/scripts/Batman-2.html
Battle of Algiers, The|https://www.imsdb.com/scripts/Battle-of-Algiers,-The.html
Battle of Shaker Heights, The|https://www.imsdb.com/scripts/Battle-of-Shaker-Heights,-The.html
Battle: Los Angeles|https://www.imsdb.com/scripts/Battle-Los-Angeles.html
Beach, The|https://www.imsdb.com/scripts/Beach,-The.html
Bean|https://www.imsdb.com/scripts/Bean.html
Beasts of No Nation|https://www.imsdb.com/scripts/Beasts-of-No-Nation.html
Beasts of the Southern Wild|https://www.imsdb.com/scripts/Beasts-of-the-Southern-Wild.html
Beauty and the Beast|https://www.imsdb.com/scripts/Beauty-and-the-Beast.html
Beavis and Butt-head Do America|https://www.imsdb.com/scripts/Beavis-and-Butt-head-Do-America.html
Beginners|https://www.imsdb.com/scripts/Beginners.html
Being Human|https://www.imsdb.com/scripts/Being-Human.html
Being John Malkovich|https://www.imsdb.com/scripts/Being-John-Malkovich.html
Being There|https://www.imsdb.com/scripts/Being-There.html
Believer, The|https://www.imsdb.com/scripts/Believer,-The.html
Belle|https://www.imsdb.com/scripts/Belle.html
Beloved|https://www.imsdb.com/scripts/Beloved.html
Benny & Joon|https://www.imsdb.com/scripts/Benny-&-Joon.html
Best Exotic Marigold Hotel, The|https://www.imsdb.com/scripts/Best-Exotic-Marigold-Hotel,-The.html
Big|https://www.imsdb.com/scripts/Big.html
Big Blue, The|https://www.imsdb.com/scripts/Big-Blue,-The.html
Big Eyes|https://www.imsdb.com/scripts/Big-Eyes.html
Big Fish|https://www.imsdb.com/scripts/Big-Fish.html
Big Lebowski, The|https://www.imsdb.com/scripts/Big-Lebowski,-The.html
Big Sick, The|https://www.imsdb.com/scripts/Big-Sick,-The.html
Big White, The|https://www.imsdb.com/scripts/Big-White,-The.html
Birdman|https://www.imsdb.com/scripts/Birdman.html
Birds, The|https://www.imsdb.com/scripts/Birds,-The.html
Birthday Girl|https://www.imsdb.com/scripts/Birthday-Girl.html
Black Dahlia, The|https://www.imsdb.com/scripts/Black-Dahlia,-The.html
Black Panther|https://www.imsdb.com/scripts/Black-Panther.html
Black Rain|https://www.imsdb.com/scripts/Black-Rain.html
Black Snake Moan|https://www.imsdb.com/scripts/Black-Snake-Moan.html
Black Swan|https://www.imsdb.com/scripts/Black-Swan.html
BlacKkKlansman|https://www.imsdb.com/scripts/BlacKkKlansman.html
Blade|https://www.imsdb.com/scripts/Blade.html
Blade II|https://www.imsdb.com/scripts/Blade-II.html
Blade Runner|https://www.imsdb.com/scripts/Blade-Runner.html
Blade: Trinity|https://www.imsdb.com/scripts/Blade-Trinity.html
Blast from the Past, The|https://www.imsdb.com/scripts/Blast-from-the-Past,-The.html
Blind Side, The|https://www.imsdb.com/scripts/Blind-Side,-The.html
Bling Ring, The|https://www.imsdb.com/scripts/Bling-Ring,-The.html
Blood and Wine|https://www.imsdb.com/scripts/Blood-and-Wine.html
Blood Simple|https://www.imsdb.com/scripts/Blood-Simple.html
Blow|https://www.imsdb.com/scripts/Blow.html
Blue Valentine|https://www.imsdb.com/scripts/Blue-Valentine.html
